id,eng,simp,trad
75,Which country are you from?,你是从哪个国家来的？,你是從哪個國家來的？
7166,I have seen the film before.,我已经看过这部电影了。,我已經看過這部電影了。
119952,This room's orientation is great.,这间房间朝向很好。,這間房間朝向很好。
136201,Do you know who they are?,你知不知道他们是谁?,你知不知道他們是誰?
136206,You must be kidding!,你骗人！,你騙人！
136235,He can also speak French.,他也会说法语。,他也會說法語。
136236,I can speak French.,我会说法语。,我會說法語。
136238,I received an invitation.,我收到了请帖。,我收到了請帖。
136401,Where do you live?,你住在哪里？,你住在哪裏？
136402,Do you remember the day when we first met?,你记不记得我们认识的那一天？,你記不記得我們認識的那一天？
136598,Does he live here?,他住在这里吗？,他住在這裏嗎？
136604,The station is not far from here.,火车站离这里不远。,火車站離這裏不遠。
136613,Where is the railroad station?,火车站在哪里?,火車站在哪裏?
136646,It's hailing.,正在下雹。,正在下雹。
139673,I love you.,我爱你。,我愛你。
180700,I love trips.,我喜欢旅行。,我喜歡旅行。
180705,I am looking forward to the trip.,我很期待去旅游.,我很期待去旅遊.
180706,I work in a travel agency.,我在旅行社工作.,我在旅行社工作.
180712,I live with my parents.,我跟父母住在一起.,我跟父母住在一起.
181028,He has no children.,他没有孩子.,他沒有孩子.
330581,This is my mother.,这是我的妈妈.,這是我的媽媽.
330582,Talk to you later.,以后再讲。,以後再講。
330583,Damned if I know.,我真的不知道。,我真的不知道。
330584,Everyone would like to believe that dreams can come true.,人人都愿意相信美梦可以成真。,人人都願意相信美夢可以成真。
330585,Thank you very much.,十分感谢。,十分感謝。
330586,I contacted my parents.,我跟父母联络了一下。,我跟父母聯絡了一下。
330587,I talked with my parents about my studying abroad.,我跟父母讲了留学的事情。,我跟父母講了留學的事情。
330588,I have run out of my traveling expenses.,我把旅费耗光了。,我把旅費耗光了。
330589,I made use of the maps during my journey.,我在旅行中用了地图。,我在旅行中用了地圖。
330590,I am short of money for my trip.,我不够钱去旅行。,我不夠錢去旅行。
330591,He likes traveling and so do I.,他喜欢旅行. 我也是.,他喜歡旅行. 我也是.
332135,What is the date today?,今天是几月几号？,今天是幾月幾號？
332420,I received an invitation.,我收到了一张请帖。,我收到了一張請帖。
332421,She's leaving the country in six months.,她半年后就要出国了。,她半年後就要出國了。
332422,Few people think so.,很少人这么认为。,很少人這麼認為。
332423,I worked all this week.,这周我一直在工作。,這周我一直在工作。
332425,I will finish it by tomorrow afternoon.,明天下午之前我会把它完成。,明天下午之前我會把它完成。
332427,That discovery was quite accidental.,那个发现纯属偶然。,那個發現純屬偶然。
332428,While in England I often consulted the guidebook.,在英国的时候，我经常看参考书。,在英國的時候，我經常看參考書。
332429,My brother will often sit up all night.,我弟弟会经常彻夜不睡。,我弟弟會經常徹夜不睡。
332430,You'll have to manufacture some kind of excuse.,你不得不制造一些借口。,你不得不制造一些借口。
332431,Something might have happened to her.,她可能出什么事了。,她可能出什麼事了。
332432,Do you take part in any community activities?,你参加社团活动吗？,你參加社團活動嗎？
332433,I found the key for which I had been looking.,我找到那把我一直在找的钥匙了。,我找到那把我一直在找的鑰匙了。
332434,I lost my umbrella.,我丢了我的伞。,我丟了我的傘。
332435,She is everything to him.,她是他的一切。,她是他的一切。
332436,Answer the phone.,接电话。,接電話。
332437,I saw it in the newspaper.,我在报纸上看到了它。,我在報紙上看到了它。
332439,We won't go out if it doesn't stop raining.,雨不停，我们不会出去。,雨不停，我們不會出去。
332441,They are peace-loving people.,他们是热爱和平的人。,他們是熱愛和平的人。
332442,I think what you say is true.,我觉得你说的是真的。,我覺得你說的是真的。
332443,Can you forgive me?,可以原谅我吗？,可以原諒我嗎？
332445,He vowed to give up smoking.,他发誓要戒烟。,他發誓要戒煙。
332447,Finishing the report by tomorrow is next to impossible.,在明天前完成报告几乎是不可能的。,在明天前完成報告幾乎是不可能的。
332448,"Yesterday, he read the most interesting novel.",他昨天看了一部最有趣的小说。,他昨天看了一部最有趣的小說。
332449,"If possible, I'd like to travel around the world.",如果可能的话，我想环游世界。,如果可能的話，我想環遊世界。
332450,I belong to a tennis club.,我是网球俱乐部的会员。,我是網球俱樂部的會員。
332451,"Doctor, please give this child first aid.",医生，请给这孩子急救。,醫生，請給這孩子急救。
332452,It is said that the weather on the mountain changes easily.,据说山上的天气变化很快。,據說山上的天氣變化很快。
332453,He regrets not having worked harder at school.,他后悔在校时没用功读书。,他後悔在校時沒用功讀書。
332454,May I pay by check?,我可以用支票付吗？,我可以用支票付嗎？
332456,"If he were a little younger, he would be eligible for the post.",如果他年轻一点，他将很适合这个职位。,如果他年輕一點，他將很適合這個職位。
332459,He gave me precise instructions to do the job.,他给我的工作作出了明确指示。,他給我的工作作出了明確指示。
332460,He succumbed to authority.,他向权力屈服。,他向權力屈服。
332461,It was yesterday that Jake broke this window.,是在昨天Jake打破了这扇窗。,是在昨天Jake打破了這扇窗。
332462,"I had an awful experience today, so I'm going to have a beer and go straight to bed.",今天糟糕透了，所以我准备去喝一杯就直接上床。,今天糟糕透了，所以我準備去喝一杯就直接上床。
332466,I really like the concept of this website.,我觉得这个网站的概念非常好。,我覺得這個網站的概念非常好。
332467,"Oh, I know this man!",啊，我认识这个男人！,啊，我認識這個男人！
332468,Remain there and don't move.,待在那儿别动。,待在那兒別動。
332470,Go straight down this street and turn right at the third light.,沿着这条路直走，到第三个红绿灯的地方右转。,沿著這條路直走，到第三個紅綠燈的地方右轉。
332471,He's sitting in the meeting room.,他正坐在会议室里。,他正坐在會議室裏。
332472,Ask her when she comes back.,等她回来的时候问问她。,等她回來的時候問問她。
332473,He spoke very loudly.,他说得很大声。,他說得很大聲。
332477,We must try to break the deadlock.,我们必须设法打破这个僵局。,我們必須設法打破這個僵局。
332478,In ten years our town will change a lot.,十年后，我们的城市将改变许多。,十年後，我們的城市將改變許多。
332479,You drink too much coffee.,你咖啡喝得太多了。,你咖啡喝得太多了。
332480,I have several dozens of them.,我有好几打呢。,我有好幾打呢。
332481,I can't imagine life on another planet.,我无法想象另一个星球上的生物。,我無法想象另一個星球上的生物。
332485,Thermometers often go below zero.,温度计往往低于零度。,溫度計往往低於零度。
332486,Three months is too short a time to finish the experiment.,要完成实验，三个月太短了。,要完成實驗，三個月太短了。
332487,"Are these your cars? ""Yes, they are.""",“这些车是你的吗？”“是的，是我的。”,“這些車是你的嗎？”“是的，是我的。”
332488,My uncle lives near the school.,我叔叔住在学校附近。,我叔叔住在學校附近。
332489,Let's play soccer.,去踢足球吧。,去踢足球吧。
332490,"The contract is in the bag, so let's go out and celebrate.",合同已经到手了，那就出去庆祝一下吧。,合同已經到手了，那就出去慶祝一下吧。
332491,I find it hard to express my feelings in words.,我难以用言语表达我的感情。,我難以用言語表達我的感情。
332496,The cat caught the rats.,猫抓住了老鼠。,貓抓住了老鼠。
332498,Only then did he realize he had been deceived.,直到那时，他才意识到他已经上当受骗。,直到那時，他才意識到他已經上當受騙。
332499,His doctor advised him to quit smoking.,他的医生建议他戒烟。,他的醫生建議他戒煙。
332500,My father is busy.,我爸爸很忙。,我爸爸很忙。
332501,He contrived a means of speaking to Nancy privately.,他用了一些手段来和Nancy私下交谈。,他用了一些手段來和Nancy私下交談。
332502,Keep these seats for the elderly.,把这些座位留给老人。,把這些座位留給老人。
332503,I can't take the place of her as an English teacher.,我无法取代她做英语老师。,我無法取代她做英語老師。
332505,They were carelessly unaware of the danger.,他们粗心大意，还没意识到危险。,他們粗心大意，還沒意識到危險。
332506,She waved her hand until the train was out of sight.,她挥着她的手，直到火车消失在视线之外。,她揮著她的手，直到火車消失在視線之外。
332507,"When she saw that they had no schools, she started one.",当她发现他们还没有学校，她就办了一个。,當她發現他們還沒有學校，她就辦了一個。
332508,Thanks for your reply.,谢谢你的答复。,謝謝你的答復。
332509,Jack can't afford to buy a new bicycle.,Jack买不起新自行车。,Jack買不起新自行車。
332513,He looked for every possible means of escape.,他寻找一切可能的逃生途径。,他尋找一切可能的逃生途徑。
332518,Critics are coming down hard on tightened economic restrictions.,对严格限制经济的批评蜂拥而来。,對嚴格限制經濟的批評蜂擁而來。
332520,The medicine worked marvels.,这药创造了奇迹。,這藥創造了奇跡。
332525,I discovered my father collected 30 years of newpapers.,我发现了我爸爸收藏了30年的报纸。,我發現了我爸爸收藏了30年的報紙。
332526,How to overcome the high value of the yen is a big problem.,如何克服日元升高是个大问题。,如何克服日元升高是個大問題。
332528,Go when you want.,你想走的时候就走吧。,你想走的時候就走吧。
332529,They awarded her first prize at the flower show.,他们在画展上授予了她一等奖。,他們在畫展上授予了她一等獎。
332532,You can have a ride on my motorcycle.,你可以骑上我的摩托车去遛一圈。,你可以騎上我的摩托車去遛一圈。
332533,He told us such a funny story that we all laughed.,他给我们讲了一个有趣的故事，我们都笑了起来。,他給我們講了一個有趣的故事，我們都笑了起來。
332535,"How to prepare black porgy: Sashimi, Whatever anybody says sashimi is the tastiest.",如何料理黑鲷：做刺身是最好吃的。,如何料理黑鯛：做刺身是最好吃的。
332536,Let's clear up this problem.,让我们来澄清一下这个问题。,讓我們來澄清一下這個問題。
332537,Don't forget to put a stamp on your letter.,别忘了在你的信上贴张邮票。,別忘了在你的信上貼張郵票。
332538,My business has at last gotten on the right track.,我的生意终于走上了正轨。,我的生意終於走上了正軌。
332539,"If you need a pen, I'll lend you one.",如果你需要笔的话，我借你一支。,如果你需要筆的話，我借你一支。
332540,"I am going to my room, where I can study.",我要回房间了，在那儿我可以学习。,我要回房間了，在那兒我可以學習。
332541,"As such is the case, I am sorry I can't accept your kind invitation.",照这样的情况，很抱歉，我不能接受你的盛情邀请。,照這樣的情況，很抱歉，我不能接受你的盛情邀請。
332542,It's next to impossible to finish it in a day.,在一天之内完成它几乎是不可能的。,在一天之內完成它幾乎是不可能的。
332543,I leave it in your hands what course of action to take.,接下来该采取什么行动就交给你了。,接下來該采取什麼行動就交給你了。
332544,The teacher gave us homework.,老师给我们布置了家庭作业。,老師給我們布置了家庭作業。
332545,We were watching the child at play.,我们看着这孩子玩耍。,我們看著這孩子玩耍。
332546,Have you begun studying English?,你开始学习英语了吗？,你開始學習英語了嗎？
332547,They are melons.,它们是瓜。,它們是瓜。
332548,We shall all miss you when you go away.,你走了，我们都会想你的。,你走了，我們都會想你的。
332549,Television has the advantage of providing sports fans with greater convenience.,电视的优点在于它给体育爱好者提供了更大的方便。,電視的優點在於它給體育愛好者提供了更大的方便。
332550,I didn't call on him because I had a cold.,我没有拜访他，因为我感冒了。,我沒有拜訪他，因為我感冒了。
332551,The bus will take time.,乘公交车费时。,乘公交車費時。
332552,I was late as a result of the train delay.,由于火车延误，我迟到了。,由於火車延誤，我遲到了。
332553,He hasn't come yet. He must have missed the bus.,他还没来。他肯定错过公交车了。,他還沒來。他肯定錯過公交車了。
332554,This style of hat is now in fashion.,这种款式的帽子现在很流行。,這種款式的帽子現在很流行。
332555,Everything else is fine.,其他的一切都好。,其他的一切都好。
332556,Can you imagine walking around on the moon?,你可以想象在月球上行走吗？,你可以想象在月球上行走嗎？
332557,Can you skate?,你会熘冰吗？,你會溜冰嗎？
332558,He is likely to win the game.,他有可能赢得比赛。,他有可能贏得比賽。
332559,This is a matter of capital importance.,这件事至关重要。,這件事至關重要。
332560,Don't pull my leg!,不要拉我的腿！,不要拉我的腿！
332561,I can't believe my eyes.,我无法相信自己的眼睛。,我無法相信自己的眼睛。
332563,You were considerate not to disturb us.,你考虑周到，没有打扰我们。,你考慮周到，沒有打擾我們。
332564,The incident was etched in his memory.,这件事他铭记于心。,這件事他銘記於心。
332565,This book is too difficult for you to read.,这本书对你来说读起来太难了。,這本書對你來說讀起來太難了。
332566,I don't want anything to drink.,我什么都不想喝。,我什麼都不想喝。
332567,A rock fell from above.,一块岩石从上面落下。,一塊巖石從上面落下。
332568,I have a headache.,我头痛。,我頭痛。
332569,Bush followed Reagan as president.,布什继里根之后当上了总统。,布什繼裏根之後當上了總統。
332570,Nothing has resulted from his efforts.,他的努力没有成果。,他的努力沒有成果。
332571,The wind is cold today.,今天刮冷风。,今天刮冷風。
332572,You are lying.,你在撒谎。,你在撒謊。
332573,God helps those who help themselves.,自助者天助。,自助者天助。
332575,"Compared with yours, my car is small.",和你的车比起来，我的车很小。,和你的車比起來，我的車很小。
332576,"He is young and, what is more, handsome.",他很年轻，更重要的是，他很帅。,他很年輕，更重要的是，他很帥。
332577,It is no use arguing with her.,和她争辩是没用的。,和她爭辯是沒用的。
332578,What a pity!,太可惜了！,太可惜了！
332579,He was happy at the news of her success.,听到她成功的消息，他很高兴。,聽到她成功的消息，他很高興。
332580,The boys were whispering; I knew they were up to something.,男孩们窃窃私语，我知道他们准备做些什么。,男孩們竊竊私語，我知道他們準備做些什麼。
332581,I'd like to reserve a single room on June 3.,我要预订一间6月3日的单人房。,我要預訂一間6月3日的單人房。
332582,Please find me my wallet.,请帮我找一下我的钱包。,請幫我找一下我的錢包。
332583,She told me an interesting story.,她给我讲了一个有趣的故事。,她給我講了一個有趣的故事。
332584,He boarded a plane bound for Los Angeles.,他登上了前往洛杉矶的飞机。,他登上了前往洛杉磯的飛機。
332585,What time does it start?,什么时候开始？,什麼時候開始？
332586,His son died from cancer at a young age.,他儿子小时候就死于癌症了。,他兒子小時候就死於癌癥了。
332587,This book is beautifully illustrated.,这本书有精美的插图。,這本書有精美的插圖。
332588,She is no less kind than her sister is.,她和她妹妹一样亲切。,她和她妹妹一樣親切。
332589,"As time went on, rules were added to the game to make it safer.",随着时间的推移，比赛增加了规则以使之更安全。,隨著時間的推移，比賽增加了規則以使之更安全。
332590,He looks every inch a gentleman.,他看上去是一个十足的绅士。,他看上去是一個十足的紳士。
332591,Gold is far heavier than water.,金子比水重得多。,金子比水重得多。
332592,"Our task has been easy so far, but it will be difficult from now on.",我们的任务到目前为止很轻松，但从现在开始将会变得很难。,我們的任務到目前為止很輕松，但從現在開始將會變得很難。
332593,Please help yourself to the cake.,你自己拿蛋糕吃吧。,你自己拿蛋糕吃吧。
332594,He told me the story of his life.,他给我讲述了他的一生。,他給我講述了他的一生。
332595,An accident delayed us for half an hour.,事故耽误了我们半小时。,事故耽誤了我們半小時。
332596,Such secrets are always eventually revealed.,这种秘密总有一天会被揭露的。,這種秘密總有一天會被揭露的。
332597,I have nothing to fall back on.,我没什么可依靠的了。,我沒什麼可依靠的了。
332598,I read the book after I had finished my homework.,我做完我的功课后，就读这本书。,我做完我的功課後，就讀這本書。
332599,"Sorry, but can you show me the way to the next village?",能不能麻烦你告诉我去邻村怎么走？,能不能麻煩你告訴我去鄰村怎麼走？
332600,She lived at 56 Russell Square.,她住在罗素广场56号。,她住在羅素廣場56號。
332601,We had a large audience.,我们有很多听众。,我們有很多聽眾。
332602,Please write to me about conditions at your school.,请写信告诉我你们学校的情况。,請寫信告訴我你們學校的情況。
332603,The sight of fresh lobster gave me an appetite.,看见新鲜龙虾，我有了食欲。,看見新鮮龍蝦，我有了食欲。
332604,Jim has been trying to take me out to dinner for the last three weeks.,最后三周，Jim一直试图带我出去吃饭。,最後三周，Jim一直試圖帶我出去吃飯。
332605,This dog runs very fast!,这狗跑得多快啊！,這狗跑得多快啊！
332606,You were late for work.,你上班迟到了。,你上班遲到了。
332607,The nurse will tell you how to do it.,护士会告诉你怎么做。,護士會告訴你怎麼做。
332608,Don't trust a man whose past you know nothing about.,不要相信一个你一点都不了解他过去的人。,不要相信一個你一點都不了解他過去的人。
332609,I'm going off to Vancouver next week to see my sister.,下周我去温哥华看我妹妹。,下周我去溫哥華看我妹妹。
332610,The engagement of Mr Rogers and Miss Smith was announced yesterday.,罗杰斯先生和史密斯小姐昨天宣布订婚。,羅傑斯先生和史密斯小姐昨天宣布訂婚。
332611,How soon do you need it?,你多久后需要它？,你多久後需要它？
332612,Honesty is a capital virtue.,诚信是一种重要的美德。,誠信是一種重要的美德。
332613,Bob reached the finish line first.,鲍勃第一个到达终点线。,鮑勃第一個到達終點線。
332614,This is the most beautiful sight that I have ever seen.,这是我见过最美的景色了。,這是我見過最美的景色了。
332615,I like both science and math.,科学和数学我都喜欢。,科學和數學我都喜歡。
332616,Our plan went wrong from the beginning.,我们的计划从一开始就出错了。,我們的計劃從一開始就出錯了。
332617,She doesn't like the way I speak.,她不喜欢我说话的方式。,她不喜歡我說話的方式。
332618,He asked her to give him preferential treatment.,他请求她给予优待。,他請求她給予優待。
332619,"Could you pass me the salt, please?",能不能请你把盐递给我？,能不能請你把鹽遞給我？
332622,In this kind of weather it's best if I stay at home and don't go outside.,在这种天气下，我最好是待在家里而不要出去。,在這種天氣下，我最好是待在家裏而不要出去。
332629,Don't you think so?,你不这么认为吗？,你不這麼認為嗎？
332630,Tom denied having stolen the money.,Tom否认偷了钱。,Tom否認偷了錢。
332631,I want to lose weight.,我想减肥。,我想減肥。
332632,I was surprised at the news.,我听到这个消息很吃惊。,我聽到這個消息很吃驚。
332633,She was always quarreling with her brothers.,她一直和她的兄弟争吵。,她一直和她的兄弟爭吵。
332634,Only a few TV programs are worth watching.,只有为数不多的几个电视节目值得关注。,只有為數不多的幾個電視節目值得關註。
332635,I can't understand why you are so critical of him.,我不明白为什么你这么批评他。,我不明白為什麼你這麼批評他。
332636,Would you like another glass of wine?,你想再来杯酒吗？,你想再來杯酒嗎？
332637,He works hard.,他努力工作。,他努力工作。
332638,Freedom has a cost.,自由是有代价的。,自由是有代價的。
332639,A few minutes later the telephone rang.,几分钟后，电话响了。,幾分鐘後，電話響了。
332640,The moon is the earth's only satellite.,月球是地球唯一的卫星。,月球是地球唯一的衛星。
332641,His sisters as well as he are now living in Tokio.,他和他的姐妹们目前都住在东京。,他和他的姐妹們目前都住在東京。
332642,The children washed their feet.,孩子们洗了他们的脚。,孩子們洗了他們的腳。
332643,My plan is visiting old castles in Scotland.,我的计划是参观苏格兰的古堡。,我的計劃是參觀蘇格蘭的古堡。
332645,He's a professor of biology at Harvard.,他是哈佛大学的生物学教授。,他是哈佛大學的生物學教授。
332647,I look forward to hearing your thoughts on this matter.,我期待听到你在这件事上的想法 。,我期待聽到你在這件事上的想法 。
332649,He is going to be a doctor when he grows up.,他长大了会成为一名医生。,他長大了會成為一名醫生。
332651,Banks charge higher interest on loans to risky customers.,银行对风险客户收取较高的贷款利息。,銀行對風險客戶收取較高的貸款利息。
332652,Why are you saying you want to walk in the park?,你为什么说要去公园散步？,你為什麼說要去公園散步？
332653,The audience was very large.,观众人数庞大。,觀眾人數龐大。
332654,Write your name in capital letters.,写下你名字的大写字母。,寫下你名字的大寫字母。
332655,I don't quite understand what he says.,我不太明白他说什么。,我不太明白他說什麼。
332656,I don't have a prejudice against foreign workers.,我对外籍员工没有偏见。,我對外籍員工沒有偏見。
332657,I'll call for you at eight tomorrow morning.,我明早八点来接你。,我明早八點來接你。
332658,I believed that he would keep his promise.,我相信他会信守诺言。,我相信他會信守諾言。
332660,We saw a lot of live fish in the pond.,我们看见池里有很多活鱼。,我們看見池裏有很多活魚。
332663,He has a lot of books on history.,他有很多历史书籍。,他有很多歷史書籍。
332666,All the signs are that she is getting better.,所有迹象表明她好起来了。,所有跡象表明她好起來了。
332667,"Even if they have a good wine menu, I will not want to dine here.",即使他们有很好的酒单，我也不想在这里用餐。,即使他們有很好的酒單，我也不想在這裏用餐。
332668,The buildings shook in the earthquake.,建筑物在地震中摇晃。,建築物在地震中搖晃。
332670,Is it right for a doctor to decide when someone should die?,由医生来决定某人何时该死是对的吗？,由醫生來決定某人何時該死是對的嗎？
332673,Who will provide capital for the venture?,谁来为风险投资提供资金？,誰來為風險投資提供資金？
332675,He quickly made friends with the new boy on the block.,他很快便与小区里新来的男孩交上了朋友。,他很快便與小區裏新來的男孩交上了朋友。
332676,His regime is bound to collapse.,他的政权必定会崩溃。,他的政權必定會崩潰。
332677,The thief whipped out into the crowd.,小偷迅速地窜入了人群。,小偷迅速地竄入了人群。
332678,I wasn't busy last week.,我上周不忙。,我上周不忙。
332679,Swimming makes your legs stronger.,游泳使腿部强健。,遊泳使腿部強健。
332680,People are more educated now than they used to be.,现在的人教育程度比以前高得多。,現在的人教育程度比以前高得多。
332681,I can't bring myself to do such a thing.,我不能让自己做这样的事。,我不能讓自己做這樣的事。
332683,Accepting the other's norms is submitting to the other's power.,接受对方的准则就是给予他权力。,接受對方的準則就是給予他權力。
332684,I'll see to it that you have a raise after the first year.,我将确保你们在第一年后有一个增长。,我將確保你們在第一年後有一個增長。
332685,He is very much interested in Japanese history. We are surprised at his vast knowledge of the subject.,他对日本的历史非常感兴趣。我们很惊讶他在这方面的丰富知识。,他對日本的歷史非常感興趣。我們很驚訝他在這方面的豐富知識。
332686,Put away your bicycle.,把你的自行车放好。,把你的自行車放好。
332687,It was Alice who went to the concert yesterday.,昨天是Alice去了演唱会。,昨天是Alice去了演唱會。
332688,We went for a walk in the forest.,我们去了林中散步。,我們去了林中散步。
332689,"A whistle blew, and the boat slowly began to pull out of port.",汽笛声响起，船开始慢慢地驶离港口。,汽笛聲響起，船開始慢慢地駛離港口。
332690,Children should drink milk every day.,孩子们应该每天喝牛奶。,孩子們應該每天喝牛奶。
332691,This photograph reminds me of enjoyable times when I was a child.,这张照片让我想起童年的快乐时光。,這張照片讓我想起童年的快樂時光。
332692,"To put it briefly, I do not agree.",简而言之，我不同意。,簡而言之，我不同意。
332693,But he did not often smile.,但是他不常微笑。,但是他不常微笑。
332694,You have to get on that bus to go to the museum.,要去博物馆，你就得乘那辆车。,要去博物館，你就得乘那輛車。
332695,We won't go out unless it stops raining.,除非雨停了，我们才会出去。,除非雨停了，我們才會出去。
332696,My father was no less affectionate and tender to me than my mother was.,我爸爸对我的爱和照顾不比我妈妈少。,我爸爸對我的愛和照顧不比我媽媽少。
332698,He failed in his attempt to swim the river.,他试图游过河，但是失败了。,他試圖遊過河，但是失敗了。
332699,Tell me what you did to Shounan.,告诉我你对湘南做了什么。,告訴我你對湘南做了什麼。
332700,I've had enough of this program.,我已经受够了这个计划。,我已經受夠了這個計劃。
